#doc name topic proportion ...
0	0.html.txt	0	0.9999795262151898	1	1.5611690821914288E-5	2	4.862093988237515E-6	
1	1.html.txt	0	0.962902557022871	2	0.035993761805405367	1	0.0011036811717236945	
2	10.html.txt	1	0.9999148360576858	0	4.306938589630643E-5	2	4.2094556417881165E-5	
3	11.html.txt	1	0.9999403552580062	0	3.0163732911078004E-5	2	2.948100908279173E-5	
4	2.html.txt	1	0.9987537360059096	0	0.0012344777068715362	2	1.1786287218863326E-5	
5	3.html.txt	1	0.9368879223692	0	0.06308312773058135	2	2.8949900218637963E-5	
6	4.html.txt	2	0.9800904568115261	1	0.015098410127607513	0	0.004811133060866253	
7	5.html.txt	1	0.9998691259328822	0	6.618605888066192E-5	2	6.46880082371492E-5	
8	6.html.txt	1	0.9998898232739858	0	5.571893222127135E-5	2	5.4457793793004774E-5	
9	7.html.txt	2	0.9999094916494738	1	6.86370442194622E-5	0	2.1871306306654185E-5	
10	8.html.txt	2	0.9999573886396261	1	3.231434236986823E-5	0	1.0297018004004883E-5	
11	9.html.txt	2	0.9992967526923933	1	5.333078800887666E-4	0	1.6993942751786535E-4	
12	Australians_may_choose_to_change_head_of_state_beyond_Queen_Elizabeth_II__Howard$AAA$.html.txt	1	0.9999097116472989	0	4.56609193839457E-5	2	4.462743331719203E-5	
13	Cities_across_Texas_increase_efforts_to_combat_mosquitos$AAA$.html.txt	1	0.9999133223715518	0	4.383489217116438E-5	2	4.284273627707004E-5	
14	Fear_and_loathing_on_the_campaign_trail__August_2008$AAA$.html.txt	1	0.9998452457867112	0	7.82628040705474E-5	2	7.649140921816032E-5	
15	IDA_Ireland_opens_Shanghai_office$AAA$.html.txt	1	0.9998511501615095	0	7.527682444409489E-5	2	7.357301404644907E-5	
16	Jimmie_Johnson_wins_seventh_NASCAR_Cup_Series_championship$AAA$.html.txt	2	0.7890130059659984	1	0.2109534451570337	0	3.354887696788444E-5	
17	Last_of_raisers_of_first_U.S._flag_over_Iwo_Jima_dies$AAA$.html.txt	1	0.6125656820371232	0	0.3873838507854408	2	5.0467177435896044E-5	
